ds;y
2017-11-08;756.410.442
2017-11-07;1.173.041.706
2017-11-06;3.144.318.895
2017-11-03;2.268.344.765
2017-11-01;1.039.150.477
2017-10-31;29.689.104.551
2017-10-30;4.708.239.151
2017-10-27;1.656.054.939
2017-10-26;1.141.220.851
2017-10-25;18.848.063.613
2017-10-24;1.877.440.543
2017-10-23;1.495.893.041
2017-10-20;16.364.873.608
2017-10-19;2.326.896.494
2017-10-18;1.353.571.272
2017-10-17;1.124.947.981
2017-10-16;4.305.962.075
2017-10-13;1.266.698.640
2017-10-11;1.324.972.889
2017-10-10;1.548.011.562
2017-10-09;958.444.599
2017-10-06;937.198.371
2017-10-05;871.776.614
2017-10-04;2.950.670.964
2017-10-03;831.285.225
2017-10-02;1.092.244.078
2017-09-29;19.128.205.373
2017-09-28;2.746.796.268
2017-09-27;1.371.699.776
2017-09-26;1.144.340.647
2017-09-25;18.505.914.638
2017-09-22;1.554.214.936
2017-09-21;1.387.929.973
2017-09-20;16.366.702.720
2017-09-19;2.612.349.660
2017-09-18;1.411.397.697
2017-09-15;2.698.567.150
2017-09-14;965.313.208
2017-09-13;2.652.357.124
2017-09-12;863.020.243
2017-09-11;1.178.529.677
2017-09-08;1.049.658.713
2017-09-06;1.237.553.389
2017-09-05;3.136.312.779
2017-09-04;763.788.478
2017-09-01;606.855.371
2017-08-31;17.239.857.886
2017-08-30;2.424.358.386
2017-08-29;1.520.445.876
2017-08-28;1.304.803.181
2017-08-25;14.083.952.434
2017-08-24;1.641.466.109
2017-08-23;2.533.836.171
2017-08-22;1.053.522.363
2017-08-21;5.305.158.942
2017-08-18;13.087.717.479
2017-08-17;1.503.215.788
2017-08-16;1.027.578.333
2017-08-15;3.338.470.597
2017-08-14;2.029.629.366
2017-08-11;759.702.033
2017-08-10;1.155.779.620
2017-08-09;1.170.282.478
2017-08-08;702.664.245
2017-08-07;1.171.096.552
2017-08-04;665.077.140
2017-08-03;2.847.004.333
2017-08-02;776.670.392
2017-08-01;2.006.301.564
2017-07-31;24.623.400.049
2017-07-28;3.193.571.966
2017-07-27;1.632.887.717
2017-07-26;1.265.461.823
2017-07-25;15.851.743.975
2017-07-24;2.081.679.951
2017-07-21;1.092.503.364
2017-07-20;16.780.161.082
2017-07-19;2.197.497.585
2017-07-18;1.364.030.097
2017-07-17;1.208.699.114
2017-07-14;2.566.979.419
2017-07-13;2.578.863.322
2017-07-12;1.114.601.472
